SAW,ADA,03242018-0700,,OW
SAW,MLX,05192018-1750,,OW
ADA,IST,04012018-2340,,OW
IST,AYT,12312017-0730,,OW
ADB,SAW,09042017-1505,,OW
IST,ASR,08302017-1945,,OW
IST,BJV,10292017-0745,,OW
BAL,SAW,04232018-1350,,OW
TZX,VAS,06192018-0245,,OW
ESB,SAW,02282018-0630,,OW
ESB,ADB,03212018-0820,,OW
ESB,YKO,04042018-1200,,OW
IST,DNZ,05192018-0545,,OW
YEI,ESB,06012018-1800,,OW
ADF,IST,04202018-1330,,OW
XHQ,IST,05282018-0700,,OW
SAW,VAN,05312018-0700,,OW
CKZ,ESB,01312018-0610,,OW
ESB,ADF,04222018-0820,,OW
TEQ,IGD,06192018-0600,,OW
